OSD.flyTime [s],HOME.distance [ft],OSD.height [ft],OSD.longitude,OSD.latitude,OSD.altitude [ft]
893.5,18148.2,914.0,74.7485314542835,26.4299044549793,3158
893.7,18138.6,914.0,74.7485010838415,26.4299062301539,3158
893.9,18129.2,914.0,74.748471467762,26.4299080502834,3158
894.1,18120.1,914.0,74.7484426158421,26.4299099000175,3158
894.3,18110.7,914.3,74.7484129213873,26.4299118626873,3158
894.5,18101.2,914.3,74.7483830799788,26.4299138966272,3158
894.7,18091.8,914.3,74.7483533022502,26.4299159875833,3158
894.9,18082.3,914.3,74.7483234363494,26.4299180927934,3158
895.1,18072.9,914.3,74.74829382027,26.4299202517302,3158
895.3,18063.4,914.3,74.7482644736058,26.4299234446321,3158
895.5,18054.0,914.6,74.7482354943259,26.4299271638366,3159
895.7,18044.3,914.6,74.7482056088313,26.4299312218483,3159
895.9,18034.8,914.6,74.7481764042224,26.4299352403873,3159
896.1,18025.5,914.6,74.7481478070223,26.4299391174826,3159
896.3,18015.8,915.0,74.7481176864016,26.4299431184782,3159
896.5,18006.2,915.0,74.7480881584944,26.4299469385573,3159
896.7,17996.6,915.0,74.7480586256888,26.4299507224531,3159
896.9,17987.3,915.0,74.748029871738,26.4299543912202,3159
897.1,17977.8,915.0,74.748000559363,26.4299581126176,3159
897.3,17968.1,914.6,74.7479707718376,26.4299626991248,3159
897.5,17958.7,914.6,74.7479426497879,26.4299684084107,3159
897.7,17949.6,914.6,74.7479155564146,26.4299745222916,3159
897.9,17940.2,914.6,74.747887777257,26.4299813718996,3159
898.1,17930.8,914.6,74.7478599344195,26.4299884769836,3159
898.3,17921.3,914.6,74.7478318907452,26.4299956072863,3159
898.5,17911.7,915.0,74.7478036707265,26.430002616978,3159
898.7,17901.9,915.0,74.7477746179697,26.4300096507919,3159
898.9,17892.6,915.0,74.7477468877968,26.4300162295734,3159
899.1,17883.0,915.3,74.7477184228551,26.430022955281,3159
899.3,17873.4,915.3,74.747689943218,26.4300296733133,3159
899.5,17863.6,915.3,74.7476607288121,26.430036486738,3159
899.7,17854.2,915.3,74.7476329055685,26.4300429591626,3159
899.9,17844.7,915.0,74.7476049108788,26.430050472131,3159
900.1,17835.4,915.0,74.7475784396096,26.4300594028269,3159
900.3,17826.5,914.6,74.7475534770657,26.4300698905011,3159
900.5,17817.7,914.6,74.7475295627918,26.4300817476582,3159
900.7,17808.9,914.6,74.7475062804191,26.4300946947002,3159
900.9,17800.1,915.0,74.7474830715232,26.4301084191349,3159
901.1,17791.0,915.0,74.7474588682403,26.4301226808367,3159
901.3,17782.1,915.3,74.7474354878984,26.4301360938757,3159
901.5,17773.0,915.3,74.7474111523571,26.4301496571302,3159
901.7,17763.8,915.6,74.7473866404713,26.4301629879344,3160
901.9,17754.7,915.6,74.747361962038,26.4301761937418,3160
902.1,17745.2,916.0,74.7473366321096,26.4301896462535,3160
902.3,17736.2,916.0,74.747312389639,26.4302023915462,3160
902.5,17727.0,916.3,74.7472874026028,26.4302154767426,3160
902.7,17717.6,916.3,74.7472622735112,26.4302285696142,3160
902.9,17708.3,916.3,74.7472370317551,26.4302417195019,3160
903.1,17698.7,916.3,74.7472111042149,26.4302551884606,3160
903.3,17689.5,916.6,74.7471863474062,26.4302680094092,3161
903.5,17680.1,916.6,74.7471609586963,26.430281189998,3161
903.7,17670.6,916.6,74.7471354622204,26.4302943640079,3161
903.9,17661.2,916.6,74.7471101077998,26.4303075402108,3161
904.1,17651.6,916.6,74.7470839598289,26.430321081536,3161
904.3,17642.3,916.6,74.7470590560664,26.4303340219992,3161
904.5,17632.8,916.6,74.7470333538552,26.4303473001732,3161
904.7,17623.1,916.6,74.7470069854537,26.4303609434695,3161
904.9,17613.8,916.6,74.7469818906514,26.4303739321771,3161
905.1,17604.2,916.6,74.746956100268,26.4303872651743,3161
905.3,17594.5,916.6,74.7469297563587,26.4304009040848,3161
905.5,17584.9,916.6,74.7469040786398,26.4304142228279,3161
905.7,17575.6,916.6,74.7468789740406,26.4304272378506,3161
905.9,17566.1,916.9,74.7468532228448,26.4304406497932,3161
906.1,17556.3,916.9,74.7468268250525,26.4304543808066,3161
906.3,17547.0,916.9,74.7468017547425,26.430467451749,3161
906.5,17537.5,916.9,74.7467760231406,26.4304808527269,3161
906.7,17528.0,916.9,74.7467502866402,26.4304942241003,3161
906.9,17518.4,916.9,74.7467245501398,26.4305076382357,3161
907.1,17508.6,916.9,74.7466979711046,26.4305214361334,3161
907.3,17499.2,916.6,74.7466726950593,26.430534559706,3161
907.5,17489.3,916.6,74.7466460866333,26.4305483861118,3161
907.7,17480.0,916.6,74.746620810588,26.430561477887,3161
907.9,17470.4,916.6,74.7465948634539,26.4305748986012,3161
908.1,17460.8,916.6,74.7465688967259,26.4305883072544,3161
908.3,17451.2,916.3,74.746542929998,26.4306017564767,3160
908.5,17441.5,916.3,74.746516973067,26.4306152024096,3160
908.7,17432.0,916.3,74.7464910602221,26.4306286373779,3160
908.9,17422.4,916.3,74.7464652551433,26.4306420866001,3160
909.1,17412.8,916.3,74.7464395137445,26.4306555752951,3160
909.3,17403.3,916.3,74.7464136351888,26.4306690617972,3160
909.5,17393.6,916.3,74.7463877076485,26.4306825669391,3160
909.7,17384.0,916.3,74.746361755616,26.4306960786599,3160
909.9,17374.4,916.3,74.746335788888,26.4307096013452,3160
910.1,17364.5,916.3,74.7463091510713,26.4307235001176,3160
910.3,17355.2,916.3,74.7462838407368,26.4307367453977,3160
910.5,17345.5,916.3,74.7462578593135,26.4307503097486,3160
910.7,17335.9,916.3,74.7462318729917,26.4307639168617,3160
910.9,17326.2,916.3,74.7462058572792,26.4307775020455,3160
911.1,17316.4,916.3,74.746179160681,26.4307914457728,3160
911.3,17306.9,916.3,74.7461537768696,26.4308046406156,3160
911.5,17297.3,916.3,74.7461277170709,26.4308182071595,3160
911.7,17287.6,916.3,74.7461016719677,26.4308317802822,3160
911.9,17278.0,916.3,74.7460756317629,26.4308453928775,3160
912.1,17268.3,916.6,74.746049601355,26.430859017534,3161
912.3,17258.5,916.6,74.7460229194521,26.4308729634543,3161
912.5,17249.1,916.6,74.7459975944222,26.4308861813228,3161
912.7,17239.2,916.6,74.7459709761993,26.4309000680341,3161
912.9,17229.8,916.6,74.7459456756617,26.4309132321758,3161
913.1,17220.0,916.6,74.7459190427435,26.4309271145012,3161
913.3,17210.6,916.6,74.7458937666982,26.4309403181157,3161
913.7,17191.4,916.6,74.7458419410084,26.4309673086632,3161
913.9,17181.5,916.6,74.7458151856287,26.4309811219114,3161
914.1,17172.1,916.6,74.7457897185435,26.4309942520628,3161
914.3,17162.2,916.3,74.7457630415391,26.4310080927226,3160
914.5,17152.6,916.3,74.7457368935682,26.4310216197938,3160
914.7,17143.2,916.3,74.7457115489445,26.4310347806462,3160
914.9,17133.6,916.3,74.7456856165058,26.4310482803058,3160
915.1,17123.9,916.3,74.7456595811994,26.431061778869,3160
915.3,17114.1,916.3,74.7456328650073,26.4310756173359,3160
915.5,17104.7,916.3,74.7456074518052,26.4310887288474,3160
915.7,17095.0,916.3,74.7455813675143,26.4311021868414,3160
915.9,17085.4,916.3,74.745555258731,26.4311156536071,3160
916.1,17075.7,916.3,74.7455291597447,26.4311291806783,3160
916.3,17066.1,916.3,74.745503173423,26.4311426934955,3160
916.5,17056.2,916.3,74.7454765356063,26.4311566120042,3160
916.7,17046.8,916.3,74.7454510979118,26.4311697618919,3160
